node1023,Cores per socket,18
node1023,Sockets,2
node1023,Model name,IntelR XeonR Gold 6140 CPU @ 2.30GHz
node1043,Cores per socket,10
node1043,Sockets,2
node1043,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1039,Cores per socket,14
node1039,Sockets,2
node1039,Model name,IntelR XeonR Gold 6132 CPU @ 2.60GHz
node1052,Cores per socket,10
node1052,Sockets,2
node1052,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1050,Cores per socket,10
node1050,Sockets,2
node1050,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1044,Cores per socket,10
node1044,Sockets,2
node1044,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1046,Cores per socket,10
node1046,Sockets,2
node1046,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1048,Cores per socket,10
node1048,Sockets,2
node1048,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1047,Cores per socket,10
node1047,Sockets,2
node1047,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1045,Cores per socket,10
node1045,Sockets,2
node1045,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1053,Cores per socket,10
node1053,Sockets,2
node1053,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1049,Cores per socket,10
node1049,Sockets,2
node1049,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1037,Cores per socket,12
node1037,Sockets,2
node1037,Model name,IntelR XeonR Gold 6126 CPU @ 2.60GHz
node1036,Cores per socket,12
node1036,Sockets,2
node1036,Model name,IntelR XeonR Gold 6126 CPU @ 2.60GHz
node1051,Cores per socket,10
node1051,Sockets,2
node1051,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1057,Cores per socket,10
node1057,Sockets,2
node1057,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1060,Cores per socket,10
node1060,Sockets,2
node1060,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1056,Cores per socket,10
node1056,Sockets,2
node1056,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1072,Cores per socket,10
node1072,Sockets,2
node1072,Model name,IntelR XeonR CPU E5-2640 v4 @ 2.40GHz
node1104,Cores per socket,10
node1104,Sockets,2
node1104,Model name,IntelR XeonR CPU E5-2630 v4 @ 2.20GHz
node1105,Cores per socket,10
node1105,Sockets,2
node1105,Model name,IntelR XeonR CPU E5-2630 v4 @ 2.20GHz
node1084,Cores per socket,8
node1084,Sockets,2
node1084,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1106,Cores per socket,10
node1106,Sockets,2
node1106,Model name,IntelR XeonR CPU E5-2630 v4 @ 2.20GHz
node1083,Cores per socket,8
node1083,Sockets,2
node1083,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1085,Cores per socket,8
node1085,Sockets,2
node1085,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1098,Cores per socket,8
node1098,Sockets,2
