PARTITION,NODE_COUNT,CPUS,MEMORY,OS,MISC_FEATURES,NODELIST
sched_mit_hill,2,28,62GB,centos7,(null),node967-968
sched_mit_hill,35,20,61GB,centos7,(null),node331-337;node360-376;node379-389
sched_mit_hill,12,16,62GB,centos7,(null),node113-114;node116-117;node125-126;node133;node135-137;node139;node144
sched_mit_hill_osg,28,20,61GB,centos7,(null),node360-376;node379-389
sched_mit_hill_osg,4,20,62GB,centos7,(null),node313-316
sched_mit_hill_osg_autofstest,2,20,62GB,centos7,(null),node315-316
sched_mit_housman,2,28,62GB,centos7,(null),node966-967
sched_mit_juanes,4,24,62GB,centos7,(null),node468-471
sched_mit_keating,2,20,61GB,centos7,(null),node329-330
sched_mit_langer,8,24,125GB,centos7,(null),node321-328
sched_mit_lnecib,15,64,377GB,rocky8,(null),node1415-1426;node1428-1430
sched_mit_mhowland_r8,6,64,250GB,rocky8,(null),node2423-2428
sched_mit_mki,5,64,376GB,centos7,(null),node1399-1403
sched_mit_mki,12,64,377GB,rocky8,(null),node1447-1458
sched_mit_mki_preempt,8,64,376GB,rocky8,(null),node1432;node1434-1436;node1438-1441
sched_mit_mki_preempt,27,64,377GB,rocky8,(null),node1415-1426;node1428-1431;node1433;node1437;node1442-1446;node1459-1462
sched_mit_mki_preempt,5,64,376GB,centos7,(null),node1399-1403
sched_mit_mvogelsb,8,64,377GB,rocky8,(null),node1431;node1433;node1437;node1442-1446
sched_mit_mvogelsb,8,64,376GB,rocky8,(null),node1432;node1434-1436;node1438-1441
sched_mit_nse,26,32,125GB,centos7,(null),node536-550;node600;node602-604;node606-609;node613-615
sched_mit_nse_r8,11,192,376GB,rocky8,(null),node1906-1916
sched_mit_pog_r8,8,32,250GB,rocky8,(null),node2024-2027;node2419-2422
sched_mit_psfc,79,32,125GB,centos7,(null),node494-510;node512-528;node530-535;node552-563;node565-567;node569;node571-581;node583-594
sched_mit_psfc,10,32,125GB,centos8,(null),node484-493
sched_mit_psfc_r8,8,64,250GB,rocky8,(null),node1919-1926
sched_mit_psfc_r8,28,64,502GB,rocky8,(null),node2105-2118;node2305-2318
sched_mit_psfc_serial,1,32,125GB,centos7,(null),node599
sched_mit_psfc_short,4,32,125GB,centos7,(null),node595-598
sched_mit_rafagb,1,128,235GB,centos7,(null),node1249
sched_mit_rafagb,29,128,250GB,centos7,(null),node1243-1248;node1251-1258;node1347-1356;node1358-1362
sched_mit_rafagb_r8,12,64,250GB,rocky8,(null),node2012-2023
sched_mit_raffaele,8,20,62GB,centos7,(null),node258;node260-261;node264;node267-270
sched_mit_redwine,13,16,62GB,centos7,(null),node113-114;node116-117;node125-126;node133;node135-137;node139;node143-144
sched_mit_rodrigof_r8,8,64,187GB,rocky8,(null),node2404-2411
sched_mit_rteague,1,128,1006GB,rocky8,(null),node2514
sched_mit_rutledge,14,20,61GB,centos7,(null),node343-356
sched_mit_schuh,15,40,186GB,centos7,(null),node1209-1216;node1368-1374
sched_mit_schuh_r8,6,64,250GB,rocky8,(null),node2006-2011
sched_mit_sloan_batch,24,28,125GB,centos7,(null),node942-965
sched_mit_sloan_batch,3,32,61GB,centos7,(null),node1111-1112;node1114
sched_mit_sloan_batch,40,48,125GB,centos7,(null),node1291-1294;node1303-1318;node1323-1326;node1331-1346
sched_mit_sloan_batch_r8,28,64,502GB,rocky8,(null),node2604-2627;node2636-2639
sched_mit_sloan_interactive,16,48,503GB,centos7,(null),node1295-1302;node1319-1322;node1327-1330
sched_mit_sloan_interactive,1,56,1509GB,centos7,(null),node1031
sched_mit_sloan_interactive,8,56,250GB,centos7,(null),node434-441
sched_mit_sloan_interactive_r8,4,64,1006GB,rocky8,(null),node2632-2635
sched_mit_sloan_interactive_r8,8,64,2014GB,rocky8,(null),node2600-2603;node2628-2631
sched_mit_sloan_sinana,2,28,564GB,centos7,(null),node1108;node1110
sched_mit_tami,4,64,250GB,centos7,(null),node2429-2432
sched_mit_trout,3,28,92GB,centos7,(null),node1015-1017
sched_mit_trout,12,16,30GB,centos7,(null),node1081;node1083;node1086;node1090-1094;node1097-1099;node1101
sched_mit_trout,15,20,30GB,centos7,(null),node1041-1047;node1049;node1051-1053;node1057;node1060;node1064;node1072
sched_mit_twcronin,12,24,62GB,centos7,(null),node472-483
sched_mit_twcronin,2,24,61GB,centos7,(null),node1036-1037
sched_mit_wvanrees,9,36,186GB,centos7,(null),node1019;node1021-1026;node1028;node1030
sched_neu_cooperman,13,16,62GB,centos7,(null),node113-114;node116-117;node125-126;node133;node135-137;node139;node143-144
sched_opportunist,6,24,125GB,centos7,(null),node414-419
sched_opportunist,11,20,62GB,centos7,(null),node254-257;node262;node265-266;node271;node318-320
sched_opportunist,2,48,1006GB,centos7,(null),node339;node342
sched_opportunist,33,16,62GB,centos7,(null),node049-050;node052;node113-114;node116-117;node119;node125-126;node129;node133;node135-137;node139;node141;node143-144;node199-203;node205-207;node209-213;node215
sched_opportunist,2,24,502GB,centos7,(null),node424-425
sched_opportunist,35,20,61GB,centos7,(null),node331-337;node360-376;node379-380;node382-389;node395
Sched_Umass_Shenoy,13,16,62GB,centos7,(null),node113-114;node116-117;node125-126;node133;node135-137;node139;node143-144
