PARTITION,COUNT,CPUS,MEMORY,OS,NODELIST
mit_normal,0,96,386000,allocated,node1601-1610
mit_normal,2,64,386000,high_l3,node2704-2705
mit_normal,0,192,1547000,idle,node1620;node1623-1625
mit_normal,0,96,386000,idle,node1612-1619
mit_normal,0,96,386000,mixed,node1600;node1611
mit_normal,2,192,1547000,r9a-c03,node1621-1622
mit_preemptable,0,96,386000,allocated,node1601-1610
mit_preemptable,0,192,1547000,idle,node1620;node1623-1625
mit_preemptable,0,96,386000,idle,node1612-1619
mit_preemptable,0,96,386000,mixed,node1600;node1611
mit_preemptable,2,192,1547000,r9a-c03,node1621-1622
mit_quicktest,2,192,1547000,r9a-c03,node1621-1622
mit_quicktest,0,96,386000,mixed,node1600;node1611
mit_quicktest,0,192,1547000,idle,node1620;node1623-1625
mit_quicktest,0,96,386000,allocated,node1601-1610
mit_quicktest,0,96,386000,idle,node1612-1619
newnodes,0,24,515000,idle,node424-425
newnodes,0,20,64000,idle,node254-257;node262;node265-266;node271-274;node276-278;node281;node287-289;node318-320
newnodes,0,16,64000,mixed,node119
newnodes,0,48,1031000,mixed,node339;node342
newnodes,0,20,63000,idle,node390-391;node395
newnodes,0,20,257000,idle,node275;node282;node286
newnodes,0,20,63000,drained,node392
newnodes,0,16,64000,idle,node129
pi_mick,0,96,386000,allocated,node1626-1631
pi_seager,0,96,386000,idle,node2502-2513;node2523-2525
sched_17806,0,16,64000,allocated,node113;node131
sched_17806,0,16,64000,down*,node126
sched_17806,0,16,64000,idle,node114-117;node122;node124-125;node135-137;node139;node143-144
sched_17806,0,16,64000,mixed,node133
sched_any,0,16,64000,idle,node122
sched_any_quicktest*,0,20,64000,idle,node279
sched_bu_moc,0,16,64000,down*,node126
sched_bu_moc,0,16,64000,idle,node122;node124-125
sched_bu_rebbi,0,16,64000,allocated,node113;node131
sched_bu_rebbi,0,16,64000,down*,node126
sched_bu_rebbi,0,16,64000,mixed,node133
sched_bu_rebbi,0,16,64000,idle,node114-117;node122;node124-125;node135-137;node139;node143-144
sched_engaging_default,0,16,64000,allocated,node113;node131
sched_engaging_default,0,16,64000,idle,node114-117;node122;node124-125;node135-137;node139;node143-144
sched_engaging_default,0,16,64000,mixed,node133
sched_engaging_default,0,16,64000,down*,node126
sched_mit_andrewv,0,64,386000,allocated,node1459-1462
sched_mit_arupc,0,40,191000,idle,node1191
sched_mit_arupc_long,0,40,191000,idle,node1192-1194
sched_mit_arupc_r8,0,64,257000,idle,node2412-2413
sched_mit_ase,0,40,191000,idle,node1133-1144;node1146-1190
sched_mit_ase,0,40,191000,allocated,node1131-1132
sched_mit_binz,0,28,128000,idle,node444-455;node457-465
sched_mit_binz,0,28,128000,mixed,node443
sched_mit_binz_long,0,28,128000,idle,node466-467
sched_mit_buehler,0,32,95000,idle,node1001-1009;node1011-1014;node971-980;node982;node984-999
sched_mit_buehler,0,32,95000,drained,node981;node983
sched_mit_byildiz,0,56,257000,allocated,node2805-2808
sched_mit_byildiz,0,40,191000,allocated,node1199-1202
sched_mit_byildiz_temp,0,40,191000,allocated,node1196-1198;node1203
sched_mit_camcat,0,52,773000,mixed,node1223
sched_mit_cburge,0,48,772000,idle,node1239-1241
sched_mit_cburge,0,96,772000,idle,node1242
sched_mit_ccoley,0,128,515000,idle,node1238
sched_mit_ccoley_r8,0,64,257000,idle,node2520-2522
sched_mit_ccoley_r8,0,64,257000,mixed,node2519
sched_mit_chisholm,0,20,257000,allocated,node422
