NODE_COUNT,OS,CORES_PER_SOCKET,SOCKETS,MEMORY,MODEL_NAME,NODELIST
47,rocky8,48,2,386000,AMD EPYC 9474F 48-Core Processor,node1600-1616;node1618-1619;node1626-1631;node2503-2513;node2523-2525;node9800-9805;node9808-9809
2,rocky8,48,2,773000,AMD EPYC 9474F 48-Core Processor,node9806-9807
2,rocky8,48,2,1547000,AMD EPYC 9474F 48-Core Processor,node9810-9811
6,rocky8,96,2,1547000,AMD EPYC 9654 96-Core Processor,node1620-1625
