NODE_COUNT,OS,CORES_PER_SOCKET,SOCKETS,MEMORY,MODEL_NAME,GPU_COUNT,GPU_TYPE,GPU_MEMORY,NODELIST
1,rocky8,32,2,1031000,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,46068 MiB,node2804
1,rocky8,32,2,1031000,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,81559 MiB,node2906
2,rocky8,60,2,2063000,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,143771 MiB,node2433-2434
